category,job_types
Desk Job,Receptionist | Accountant | Office Assistant | HR | Computer Operator | Telecaller | Accounts Executive
Field & Operations,Supervisor | Engineer | Salesman | Marketing | Field Worker | Business Development
Security,Security Guard | Watchman | Bodyguard
IT & Digital,Software Developer | Web Designer | Graphic Designer | Data Entry | Social Media Manager | Video Editor
Education,Teacher | Primary Teacher | Secondary Teacher | Lecturer | Lab Assistant | Sports Coach | Music Teacher
Hospitality,Waiter | Steward | Room Service | Housekeeping | Hotel Staff
Food,Cook | Chef | Kitchen Helper | Baker | Bartender
Support Staff,Peon | Office Boy | Attender | Ward Boy | Pantry Boy
Worker,Helper | Cleaner | Warehouse Worker | Loading Worker | Petrol Pump Attendant
Logistics & Delivery,Driver | Truck Driver | Tempo Driver | Delivery Boy | Vehicle Cleaner
Shop,Shop Assistant | Showroom Salesman | Stock Keeper | Cashier | Billing Clerk
Healthcare,Nurse | Doctor | Pharmacist | Lab Technician | Radiologist | Physiotherapist | Dietician | Ward Boy | OT Technician | Cathlab Technician | Perfusionist | CHO | CSSD Technician | RMO | Hospital Technician | Hospital Brother | Hospital Sister
ITI,Electrician | Mechanic | HVAC Technician | AC Mechanic | DG Operator | BMS Operator | Fire Technician | Electronics Technician | Wireman | Technician
Manufacturing,Welder | Fitter | Turner | CNC Operator | Machine Operator | Operator | Worker | Foreman | Quality Inspector | Packing Worker
Construction,Plumber | Carpenter | Mason | Painter | Tile Worker | Centering Worker | Blacksmith | Site Engineer | Labour Contractor | Crane Operator
Domestic,Maid | Babysitter | Elder Care | Gardener
Finance,Loan Agent | Insurance Agent | Financial Advisor | Stock Broker | Collection Agent | Bank Staff
Beauty,Hair Stylist | Beautician | Mehndi Artist | Spa Therapist | Nail Technician | Makeup Artist | Salon Assistant